INFO  - 2015-11-27 15:52:23.612; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955862999001591 (1519008658080399360)]} 0 2
INFO  - 2015-11-27 15:52:23.617; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863299701591 (1519008658085642240)]} 0 2
INFO  - 2015-11-27 15:52:23.625; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863301001591 (1519008658094030848)]} 0 2
INFO  - 2015-11-27 15:52:23.630; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863301301591 (1519008658100322304)]} 0 1
INFO  - 2015-11-27 15:52:23.637; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863301501591 (1519008658106613760)]} 0 3
INFO  - 2015-11-27 15:52:23.641; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863301901591 (1519008658112905216)]} 0 0
INFO  - 2015-11-27 15:52:23.646; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863302001591 (1519008658117099520)]} 0 1
INFO  - 2015-11-27 15:52:23.653; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863477101591 (1519008658123390976)]} 0 2
INFO  - 2015-11-27 15:52:23.658; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863477301591 (1519008658129682432)]} 0 1
INFO  - 2015-11-27 15:52:23.662; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863477501591 (1519008658134925312)]} 0 1
INFO  - 2015-11-27 15:52:23.666; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863477901591 (1519008658138071040)]} 0 1
INFO  - 2015-11-27 15:52:23.669; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863478301591 (1519008658142265344)]} 0 0
INFO  - 2015-11-27 15:52:23.673; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863478701591 (1519008658145411072)]} 0 1
INFO  - 2015-11-27 15:52:23.677; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863478801591 (1519008658149605376)]} 0 1
INFO  - 2015-11-27 15:52:23.680; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863480201591 (1519008658152751104)]} 0 1
INFO  - 2015-11-27 15:52:23.684; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863480701591 (1519008658156945408)]} 0 1
INFO  - 2015-11-27 15:52:23.687; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863481001591 (1519008658161139712)]} 0 1
INFO  - 2015-11-27 15:52:23.691; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863481801591 (1519008658164285440)]} 0 1
INFO  - 2015-11-27 15:52:23.694; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863482001591 (1519008658167431168)]} 0 1
INFO  - 2015-11-27 15:52:23.698; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863482201591 (1519008658171625472)]} 0 1
INFO  - 2015-11-27 15:52:23.701; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863482601591 (1519008658175819776)]} 0 0
INFO  - 2015-11-27 15:52:23.705; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863486601591 (1519008658178965504)]} 0 1
INFO  - 2015-11-27 15:52:23.708; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863487001591 (1519008658183159808)]} 0 0
INFO  - 2015-11-27 15:52:23.713; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863487501591 (1519008658187354112)]} 0 1
INFO  - 2015-11-27 15:52:23.717; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863488001591 (1519008658191548416)]} 0 2
INFO  - 2015-11-27 15:52:23.720; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863488301591 (1519008658194694144)]} 0 1
INFO  - 2015-11-27 15:52:23.725; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863488601591 (1519008658199937024)]} 0 1
INFO  - 2015-11-27 15:52:23.729; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863488901591 (1519008658204131328)]} 0 1
INFO  - 2015-11-27 15:52:23.733; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863489401591 (1519008658208325632)]} 0 1
INFO  - 2015-11-27 15:52:23.736; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863491201591 (1519008658211471360)]} 0 1
INFO  - 2015-11-27 15:52:23.739; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863491401591 (1519008658215665664)]} 0 0
INFO  - 2015-11-27 15:52:23.744; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863492001591 (1519008658219859968)]} 0 1
INFO  - 2015-11-27 15:52:23.748; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863492901591 (1519008658224054272)]} 0 1
INFO  - 2015-11-27 15:52:23.751; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863493101591 (1519008658228248576)]} 0 1
